channel names:	
02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai0	02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai1
start times:	
2/17/2012 14:39:22.500000	2/17/2012 14:39:22.500011
dt:	
0.001000	
data:	
3.374634E-2	-3.517187E-2
3.406704E-2	-4.161093E-2
2.957725E-2	-3.678163E-2
2.925655E-2	-3.774749E-2
2.797376E-2	-3.967921E-2
2.733236E-2	-3.935726E-2
2.861515E-2	-2.841085E-2
3.150145E-2	-2.776694E-2
3.214284E-2	-3.645968E-2
3.278424E-2	-2.229374E-2
3.695333E-2	-2.132788E-2
3.631193E-2	-2.905476E-2
3.951892E-2	-1.295710E-2
3.406704E-2	-3.163038E-2
3.663263E-2	-2.776694E-2
4.368801E-2	7.647902E-3
4.016032E-2	-2.100593E-2
3.919822E-2	-2.164984E-2
3.983962E-2	1.208839E-3
3.919822E-2	-1.392296E-2
3.791542E-2	-1.199124E-2
4.112241E-2	-3.098648E-2
3.983962E-2	-1.521077E-2
3.951892E-2	-2.197179E-2
3.855682E-2	-3.002062E-2
3.983962E-2	-2.905476E-2
3.118075E-2	-2.551327E-2
4.016032E-2	-2.293765E-2
4.112241E-2	-1.907421E-2
3.983962E-2	-1.360101E-2
3.663263E-2	-1.971812E-2
4.048102E-2	-9.415616E-3
4.400870E-2	-6.839990E-3
4.080171E-2	-2.454741E-2
4.016032E-2	-1.263515E-2
3.887752E-2	-1.134733E-2
4.336731E-2	-2.132788E-2
3.983962E-2	1.054548E-2
3.727403E-2	-2.293765E-2
3.567053E-2	-1.488882E-2
3.727403E-2	7.325949E-3
3.759473E-2	-9.737569E-3
3.823612E-2	-1.688740E-3
3.727403E-2	1.376501E-2
3.438774E-2	5.649323E-4
3.919822E-2	8.935715E-3
3.887752E-2	-1.327905E-2
3.502913E-2	-5.230225E-3
4.144311E-2	-2.010693E-3
3.695333E-2	-1.005952E-2
3.342564E-2	-9.093662E-3
4.016032E-2	-1.295710E-2
3.310494E-2	-1.070343E-2
3.150145E-2	-1.688740E-3
3.053935E-2	2.818604E-3
2.701166E-2	-1.263515E-2
3.310494E-2	7.647902E-3
3.246354E-2	1.344306E-2
3.150145E-2	1.530792E-3
3.791542E-2	1.312111E-2
3.534983E-2	5.072277E-3
3.727403E-2	4.428370E-3
3.791542E-2	4.370666E-2
3.983962E-2	1.891626E-2
3.567053E-2	2.503337E-2
3.342564E-2	3.984322E-2
3.438774E-2	3.147244E-2
3.791542E-2	3.501392E-2
3.567053E-2	1.344306E-2
3.695333E-2	3.018462E-2
3.599123E-2	3.726759E-2
3.567053E-2	1.988212E-2
3.663263E-2	2.567728E-2
3.438774E-2	2.760900E-2
3.310494E-2	1.827236E-2
2.604956E-2	1.956017E-2
2.829446E-2	2.438947E-2
3.310494E-2	2.052603E-2
3.406704E-2	3.147244E-2
3.951892E-2	3.887736E-2
3.727403E-2	1.762845E-2
3.118075E-2	2.954072E-2
4.368801E-2	3.147244E-2
3.502913E-2	1.859431E-2
3.695333E-2	2.696509E-2
3.695333E-2	2.471142E-2
3.631193E-2	2.020408E-2
3.150145E-2	4.370666E-2
2.701166E-2	1.473087E-2
3.278424E-2	1.795040E-2
3.182214E-2	4.048713E-2
2.669096E-2	1.537478E-2
3.342564E-2	2.760900E-2
3.310494E-2	1.440892E-2
2.957725E-2	3.179439E-2
2.957725E-2	2.406751E-2
3.086005E-2	1.054548E-2
3.053935E-2	1.795040E-2
2.893585E-2	1.376501E-2
3.278424E-2	8.291808E-3
3.214284E-2	1.505282E-2
3.053935E-2	2.052603E-2
3.342564E-2	3.140558E-3
3.310494E-2	2.503337E-2
2.765306E-2	2.954072E-2
3.086005E-2	1.022353E-2
2.989795E-2	2.535533E-2
2.284257E-2	1.795040E-2
3.086005E-2	3.462511E-3
2.893585E-2	3.276025E-2
3.534983E-2	1.473087E-2
3.278424E-2	8.613761E-3
3.567053E-2	3.662369E-2
3.470843E-2	1.923822E-2
3.214284E-2	2.245775E-2
3.118075E-2	3.597978E-2
2.540817E-2	1.988212E-2
3.182214E-2	2.503337E-2
2.957725E-2	-2.976552E-3
2.861515E-2	1.601868E-2
3.182214E-2	9.579621E-3
3.310494E-2	4.428370E-3
3.310494E-2	7.003996E-3
3.278424E-2	-7.228803E-4
3.631193E-2	-2.010693E-3
3.374634E-2	5.649323E-4
3.887752E-2	1.279915E-2
3.983962E-2	5.072277E-3
3.727403E-2	1.279915E-2
3.919822E-2	1.762845E-2
3.951892E-2	-7.897400E-5
3.823612E-2	1.988212E-2
3.951892E-2	2.052603E-2
4.208451E-2	5.394230E-3
3.951892E-2	2.181384E-2
3.759473E-2	3.462511E-3
3.919822E-2	8.868855E-4
3.791542E-2	2.664314E-2
3.470843E-2	4.106417E-3
3.150145E-2	4.428370E-3
3.951892E-2	3.147244E-2
3.983962E-2	1.118939E-2
3.438774E-2	1.762845E-2
4.016032E-2	-1.617663E-2
4.625360E-2	2.149189E-2
4.112241E-2	1.279915E-2
3.438774E-2	1.530792E-3
3.823612E-2	1.247720E-2
4.657430E-2	1.086743E-2
3.855682E-2	1.530792E-3
3.663263E-2	9.257668E-3
3.887752E-2	1.151134E-2
4.176381E-2	1.022353E-2
4.208451E-2	1.762845E-2
3.887752E-2	1.891626E-2
3.406704E-2	8.613761E-3
3.534983E-2	2.213579E-2
4.016032E-2	2.857486E-2
3.919822E-2	1.215525E-2
3.599123E-2	3.855541E-2
3.919822E-2	1.247720E-2
4.080171E-2	4.750323E-3
3.438774E-2	3.533587E-2
3.534983E-2	1.086743E-2
3.599123E-2	1.698454E-2
3.502913E-2	3.179439E-2
2.861515E-2	1.505282E-2
3.438774E-2	2.632119E-2
3.502913E-2	-2.976552E-3
3.246354E-2	1.698454E-2
3.759473E-2	1.086743E-2
4.080171E-2	7.325949E-3
3.823612E-2	7.325949E-3
4.240521E-2	2.496651E-3
4.144311E-2	4.428370E-3
3.887752E-2	7.325949E-3
3.951892E-2	3.462511E-3
4.048102E-2	-9.093662E-3
3.599123E-2	7.969855E-3
3.470843E-2	1.183329E-2
3.502913E-2	-1.649858E-2
3.406704E-2	1.530792E-3
3.374634E-2	-2.654599E-3
3.310494E-2	-2.197179E-2
3.631193E-2	1.118939E-2
3.502913E-2	-1.585468E-2
3.599123E-2	-2.229374E-2
3.983962E-2	8.291808E-3
3.887752E-2	-1.649858E-2
3.823612E-2	-1.102538E-2
3.919822E-2	3.462511E-3
4.144311E-2	-2.654599E-3
4.176381E-2	-1.456687E-2
3.502913E-2	-2.776694E-2
3.695333E-2	-1.971812E-2
3.919822E-2	-2.100593E-2
3.823612E-2	-3.163038E-2
3.053935E-2	-3.806945E-2
3.182214E-2	-3.581577E-2
3.278424E-2	-3.452796E-2
3.246354E-2	-2.519132E-2
3.567053E-2	-2.325960E-2
3.118075E-2	-3.484991E-2
2.572886E-2	-2.325960E-2
2.733236E-2	-2.325960E-2
3.118075E-2	-3.967921E-2
3.310494E-2	-2.390351E-2
3.086005E-2	-2.197179E-2
3.053935E-2	-3.130843E-2
2.893585E-2	-1.360101E-2
2.893585E-2	-3.291820E-2
3.278424E-2	-3.452796E-2
2.893585E-2	-2.976552E-3
2.957725E-2	-2.808890E-2
3.310494E-2	-2.197179E-2
3.470843E-2	-4.009272E-4
3.053935E-2	-1.843030E-2
2.604956E-2	-1.295710E-2
2.989795E-2	-2.325960E-2
2.829446E-2	-7.805850E-3
3.053935E-2	-1.102538E-2
2.989795E-2	-1.778640E-2
2.989795E-2	-1.295710E-2
2.701166E-2	-1.617663E-2
3.118075E-2	-1.649858E-2
3.118075E-2	-1.521077E-2
3.470843E-2	-9.093662E-3
3.374634E-2	-1.199124E-2
3.342564E-2	-1.366787E-3
3.983962E-2	6.360089E-3
3.438774E-2	-1.134733E-2
3.406704E-2	-1.688740E-3
3.310494E-2	-1.688740E-3
3.438774E-2	-1.456687E-2
3.278424E-2	-3.298506E-3
3.374634E-2	-1.649858E-2
3.406704E-2	-1.682054E-2
3.246354E-2	8.935715E-3
3.278424E-2	-1.585468E-2
3.310494E-2	-9.093662E-3
3.086005E-2	1.312111E-2
3.791542E-2	-3.942412E-3
3.983962E-2	6.038136E-3
4.016032E-2	-1.714249E-2
3.887752E-2	-1.038147E-2
3.470843E-2	-8.771709E-3
4.016032E-2	-1.553273E-2
4.048102E-2	-1.070343E-2
4.048102E-2	-1.263515E-2
3.951892E-2	-1.199124E-2
4.016032E-2	-1.005952E-2
4.016032E-2	-1.327905E-2
3.791542E-2	-1.875226E-2
3.727403E-2	-6.196084E-3
3.759473E-2	-1.070343E-2
3.631193E-2	-2.615718E-2
3.599123E-2	-7.161943E-3
3.887752E-2	-5.230225E-3
3.695333E-2	-1.843030E-2
3.919822E-2	1.440892E-2
3.823612E-2	-9.415616E-3
3.374634E-2	-1.778640E-2
4.016032E-2	1.408697E-2
3.951892E-2	-7.161943E-3
3.695333E-2	-4.586318E-3
3.567053E-2	1.537478E-2
4.176381E-2	7.969855E-3
3.759473E-2	3.140558E-3
3.438774E-2	-3.942412E-3
3.887752E-2	2.174698E-3
3.823612E-2	-3.942412E-3
3.118075E-2	-7.897400E-5
3.695333E-2	5.649323E-4
3.791542E-2	8.613761E-3
3.470843E-2	6.682042E-3
4.080171E-2	1.537478E-2
3.759473E-2	2.245775E-2
3.887752E-2	1.054548E-2
3.695333E-2	2.857486E-2
3.919822E-2	3.050658E-2
3.919822E-2	2.277970E-2
3.951892E-2	2.438947E-2
3.663263E-2	2.632119E-2
3.759473E-2	1.312111E-2
3.663263E-2	4.950182E-2
3.791542E-2	1.601868E-2
3.855682E-2	1.440892E-2
3.502913E-2	4.241885E-2
3.246354E-2	1.376501E-2
